16699|Glen of the High North|2005-09-15|http://www.gutenberg.org/ebooks/16699
30584|The Covent Garden Theatre, or Pasquin Turn'd Drawcansir|2009-12-02|http://www.gutenberg.org/ebooks/30584
13034|Mary Minds Her Business|2004-07-27|http://www.gutenberg.org/ebooks/13034
29713|The Balladists|2009-08-17|http://www.gutenberg.org/ebooks/29713
31858|Ancestors: A Novel|2010-04-01|http://www.gutenberg.org/ebooks/31858
176|Roderick Hudson|2006-03-12|http://www.gutenberg.org/ebooks/176
34253|Contemporary American History, 1877-1913|2010-11-08|http://www.gutenberg.org/ebooks/34253
15689|Gascoyne, The Sandal-Wood Trader: A Tale of the Pacific|2005-04-23|http://www.gutenberg.org/ebooks/15689
13497|Greatheart|2004-09-18|http://www.gutenberg.org/ebooks/13497
704|The Mansion|1996-10-01|http://www.gutenberg.org/ebooks/704
28294|Pilgrimage from the Alps to the Tiber Or The Influence of Romanism on Trade, Justice, and Knowledge|2009-03-09|http://www.gutenberg.org/ebooks/28294
28503|The Wit of Women Fourth Edition|2009-04-05|http://www.gutenberg.org/ebooks/28503
17826|Memoir of Old Elizabeth, A Coloured Woman|2006-02-22|http://www.gutenberg.org/ebooks/17826
48034|Old Broadbrim Into the Heart of Australia or, A Strange Bargain and Its Consequences|2015-01-20|http://www.gutenberg.org/ebooks/48034
12106|Old Gorgon Graham More Letters from a Self-Made Merchant to His Son|2004-04-01|http://www.gutenberg.org/ebooks/12106
21249|Clayhanger|2007-04-28|http://www.gutenberg.org/ebooks/21249
2172|That Mainwaring Affair|2000-05-01|http://www.gutenberg.org/ebooks/2172
5092|The Coming of Cuculain|2004-02-01|http://www.gutenberg.org/ebooks/5092
13060|The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 2|2004-07-30|http://www.gutenberg.org/ebooks/13060
38859|Civil War Experiences, 1862-1865 Chickamauga, Mission Ridge, Buzzard Roost, Resaca, Rome, New Hope Church, Kenesaw Mountain, Peach Tree Creek, Atlanta, Jonesboro, Averysboro, Bentonville|2012-02-13|http://www.gutenberg.org/ebooks/38859
7214|Pan|2005-01-01|http://www.gutenberg.org/ebooks/7214
4516|Peter: A Novel of Which He is Not the Hero|2003-10-01|http://www.gutenberg.org/ebooks/4516
15982|Woman As She Should Be; Or, Agnes Wiltshire|2005-06-04|http://www.gutenberg.org/ebooks/15982
12569|Through the Mackenzie Basin A Narrative of the Athabasca and Peace River Treaty Expedition of 1899|2004-06-01|http://www.gutenberg.org/ebooks/12569
41141|The Children's Book of Birds|2012-10-22|http://www.gutenberg.org/ebooks/41141
12390|A Few Practical Suggestions Society for Pure English, Tract 03 (1920)|2004-05-01|http://www.gutenberg.org/ebooks/12390
20368|Notes and Queries, Number 191, June 25, 1853 A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.|2007-01-15|http://www.gutenberg.org/ebooks/20368
43858|The Botanical Magazine,  Vol. 13 Or, Flower-Garden Displayed|2013-10-01|http://www.gutenberg.org/ebooks/43858
24870|The Stars, My Brothers|2008-03-18|http://www.gutenberg.org/ebooks/24870
32521|Keep-Well Stories for Little Folks|2010-05-25|http://www.gutenberg.org/ebooks/32521
26935|Conservation Reader|2008-10-16|http://www.gutenberg.org/ebooks/26935
5728|Stories by Foreign Authors: Italian|2004-05-01|http://www.gutenberg.org/ebooks/5728
34591|Clue of the Silken Ladder|2010-12-07|http://www.gutenberg.org/ebooks/34591
24914|Wappin' Wharf: A Frightful Comedy of Pirates|2008-03-25|http://www.gutenberg.org/ebooks/24914
41366|The Flying Boat: A Story of Adventure and Misadventure|2012-11-14|http://www.gutenberg.org/ebooks/41366
45230|Charles Sumner: his complete works, volume 01 (of 20)|2014-03-26|http://www.gutenberg.org/ebooks/45230
28555|The Virginia Company Of London, 1606-1624|2009-04-11|http://www.gutenberg.org/ebooks/28555
455|The University of Hard Knocks|1996-03-01|http://www.gutenberg.org/ebooks/455
6167|Business Hints for Men and Women|2004-07-01|http://www.gutenberg.org/ebooks/6167
37973|Diana Tempest, Volume I|2011-11-10|http://www.gutenberg.org/ebooks/37973
37488|Asgard Stories: Tales from Norse Mythology|2011-09-20|http://www.gutenberg.org/ebooks/37488
3400|Complete Project Gutenberg William Dean Howells Works|2002-08-01|http://www.gutenberg.org/ebooks/3400
36078|Literary Byways|2011-05-10|http://www.gutenberg.org/ebooks/36078
41061|The Land of Tomorrow|2012-10-14|http://www.gutenberg.org/ebooks/41061
25836|Young Hilda at the Wars|2008-06-19|http://www.gutenberg.org/ebooks/25836
44292|The Bruce|2013-11-27|http://www.gutenberg.org/ebooks/44292
5576|A Word, Only a Word — Volume 05|2004-04-01|http://www.gutenberg.org/ebooks/5576
27055|Punch, or the London Charivari, Vol. 147, September 2nd, 1914|2008-10-26|http://www.gutenberg.org/ebooks/27055
1164|The Iron Heel|2006-05-03|http://www.gutenberg.org/ebooks/1164
