Huntley, Florence|NULL
Thompson, Maurice|1844
Various|NULL
Shell Union Oil Corporation|NULL
unknown|NULL
Palmer, Joel|1810
Dixon, Charles|1858
Douglas, Amanda M.|1831
Vertot, abbé de|1655
Lake, Simon|1866
Coleridge, Christabel R. (Christabel Rose)|1843
Rose, Augustus F. (Augustus Foster)|1873
Hardy, Thomas|1840
Fiske, John|1842
Farrar, F. W. (Frederic William)|1831
Masefield, John|1878
Jerrold, Douglas William|1803
Sherman, Francis|1871
Various|NULL
Motley, John Lothrop|1814
Spencer, Edward|1844
Le Queux, William|1864
Wade, Mary Hazelton Blanchard|1860
McKinney, Kate Slaughter|1857
Farjeon, B. L. (Benjamin Leopold)|1833
Fletcher, Horace|1849
Arundel, Louis|NULL
Alcott, Louisa May|1832
Fuseli, Henry|1741
Pepys, Samuel|1633
Günther, Marie A., countess|NULL
Anonymous|NULL
Johnston, Harry|1858
Ingersoll, R. Sturgis (Robert Sturgis)|1891
Thorne, Guy|1875
Brereton, F. S. (Frederick Sadleir)|1872
Appleton, Victor|NULL
Wharton, Edith|1862
Dane, Clemence|NULL
Lind-af-Hageby, L. (Lizzy)|1878
Fishburne, William Brett|NULL
Baxter, Richard|1615
Kuprin, A. I. (Aleksandr Ivanovich)|1870
unknown|NULL
Carlile, Richard|1790
Furst, Herbert|1874
Noël Hume, Ivor|NULL
Holmes, Mary Jane|1825
Kickapoo Club|NULL
Curwood, James Oliver|1878
Nesbit, E. (Edith)|1858
Sharp, Evelyn|1869
Greene, Homer|1853
unknown|NULL
Motley, John Lothrop|1814
Davis, Katherine Wallace|NULL
Various|NULL
Young, Clarence|NULL
Freeman, Mary Eleanor Wilkins|1852
Motley, John Lothrop|1814
Saleeby, C. W. (Caleb Williams)|1878
Bierman, Agnes|1916
Conway, Moncure Daniel|1832
Vivanti, Annie|1866
Standish, Burt L.|1866
Smith, Philip Vernon|1845
Graves, Charles L. (Charles Larcom)|1856
Pegge, Samuel|1704
Norris, Frank|1870
Strang, Herbert|NULL
Mitchell, C. Ainsworth (Charles Ainsworth)|1867
Jones, U. J. (Uriah James)|1818
Bennett, R. A. R. (Reginald Arthur Renaud)|1866
Hungerford, Edward|1875
Shepherd, C. K.|NULL
Babur, Emperor of Hindustan|1483
Arthur, T. S. (Timothy Shay)|1809
Knox, John|NULL
Drake, Samuel Adams|1833
Black, William|1841
Hulbert, Archer Butler|1873
Russell, John Russell, Earl|1792
James, Henry|1843
Grote, George|1794
Mitton, G. E. (Geraldine Edith)|1868
Motley, John Lothrop|1814
Stowe, Harriet Beecher|1811
Porter, Jane|1776
Mills, Enos A.|1870
Various|NULL
Penn, William|1644
Vansittart, Robert Gilbert Vansittart, Baron|1881
Fitzhugh, Percy Keese|1876
Le Queux, William|1864
Teakle, Thomas|NULL
Lang, Andrew|1844
Anonymous|NULL
Hudson, J. Paul|NULL
Lewandowski, Maurice|NULL
Harker, L. Allen (Lizzie Allen)|1863
Gautier, Judith|1845
Braden, James A. (James Andrew)|1872
Thomas, Cyrus|1825
Benson, Arthur Christopher|1862
Motley, John Lothrop|1814
Busk, Rachel Harriette|1831
Wood, Henry, Mrs.|1814
Step, Edward|1855
Lowndes, Cecilia Selby|NULL
Porter, Horace|1863
Schreiner, George Abel|NULL
unknown|NULL
Hole, S. Reynolds (Samuel Reynolds)|1819
Abbott, Wilbur Cortez|1869
Hendryx, James B. (James Beardsley)|1880
Franck, Harry Alverson|1881
Thurston, E. Temple (Ernest Temple)|1879
James, G. P. R. (George Payne Rainsford)|NULL
Various|NULL
Carpenter, Edward|1844
Ferri, Enrico|1856
Snell, Roy J. (Roy Judson)|1878
Stoddard, Charles Warren|1843
Carpenter, J. Estlin (Joseph Estlin)|1844
Benson, E. F. (Edward Frederic)|1867
Newman, Charles Robert|NULL
Jenkinson, Emily J.|1879
Carmel, John Prosper|NULL
Russell, William Howard, Sir|1820
Forman, Justus Miles|1875
Fox, Frank|1874
Holmes, Augusta Macgregor|NULL
Motley, John Lothrop|1814
Harland, John|1806
Cundall, Joseph|1818
unknown|NULL
Hume, Fergus|1859
Fyfe, H. B. (Horace Bowne)|1918
Le Rossignol, James Edward|1866
Williams, Edward Huntington|1868
Various|NULL
Meredith, George|1828
Binns, Charles Fergus|1857
Motley, John Lothrop|1814
Various|NULL
Serkoff, Vera, Countess|NULL
Aimard, Gustave|1818
Holland, Rupert Sargent|1878
Oliphant, Mrs. (Margaret)|1828
Smith, Joseph, Jr.|1805
Hanshew, Thomas W.|1857
Niecks, Frederick|1845
Sharp, William|1855
Fisk, W. W. (Walter Warner)|1888
Dell, Ethel M. (Ethel May)|1881
Timbs, John|1801
James, G. P. R. (George Payne Rainsford)|NULL
Holme, Constance|NULL
Ruffner, William Henry|1824
Besant, Walter|1836
Meredith, George|1828
Various|NULL
Striker, Fran|1903
Ingelo, Nathaniel|1636
Bond, A. Russell (Alexander Russell)|1876
Grundy, Sydney|1848
Dyer, T. F. Thiselton (Thomas Firminger Thiselton)|1848
Herbert, A. P. (Alan Patrick)|1890
Various|NULL
Kjelgaard, Jim|1910
Yonge, Charlotte M. (Charlotte Mary)|1823
Waterman, Nixon|1859
Washington, Booker T.|1856
Baskerville, Beatrice C.|NULL
Chalmers, Margaret Piper|1880
Crouch, Humphrey, active 1635-1671|NULL
Turgenev, Ivan Sergeevich|1818
Doyle, Arthur Conan|1859
Canadian War Records Office|1877
Eckstein, Ernst|1845
Bright, Charles, Sir|1863
Holland, W. J. (William Jacob)|1848
unknown|NULL
Frazer, James George|1854
Meade, L. T.|1854
Methuen & Co.|NULL
unknown|NULL
Colborn, Edward F.|1854
Pepys, Samuel|1633
Tolstoy, Leo, graf|1828
Pepys, Samuel|1633
Chetwynd, Henry Wayland, Mrs.|NULL
Förstemann, Ernst Wilhelm|1822
Knight, Sherwood Sweet|1876
Fleay, Frederick Gard|1831
Verhaeren, Emile|1855
East, Timothy|NULL
Anonymous|NULL
Miller, Samuel|1769
Pepys, Samuel|1633
Gilson, Roy Rolfe|1875
Terhune, Albert Payson|1872
unknown|NULL
Arnott, Samuel|1852
Curtis, Robert|NULL
Baring-Gould, S. (Sabine)|1834
Tree, Iris|1897
Doyle, Arthur Conan|1859
Anonymous|NULL
Ahlborn, Richard E.|1933
Devon, James|NULL
Hyne, Charles John Cutcliffe Wright|1866
Pocock, Roger|1865
Butt, W.|1822
McManus, Blanche|1869
Talman, Charles Fitzhugh|1874
Dunning, Hal|1880
Shearman, Sumner U. (Sumner Upham)|1839
Beard, Daniel Carter|1850
Murphy, Thos. D. (Thomas Dowler)|1866
Ker, David|1842
Judson, Clara Ingram|1879
White, Stewart Edward|1873
Temple, William|1881
unknown|NULL
Rice, Alice Caldwell Hegan|1870
unknown|NULL
Gissing, George|1857
unknown|NULL
Coit, Adelin Balch|NULL
Anonymous|NULL
Yonge, Charlotte M. (Charlotte Mary)|1823
Pepys, Samuel|1633
Dewey, John|1859
Various|NULL
Curtis, George Ticknor|1812
Burwell, Letitia M.|NULL
Torpey, Dorothy Margaret|1919
Tynan, Katharine|1861
Pratt, Orson|1811
Benson, Arthur Christopher|1862
Craigie, William A. (William Alexander), Sir|1867
Browne, Robert T.|NULL
Wade, Mary Hazelton Blanchard|1860
Creswicke, Louis|NULL
Buffon, Georges Louis Leclerc, comte de|1707
Gibson, W. Hamilton (William Hamilton)|1850
Motley, John Lothrop|1814
MacFarlane, Peter Clark|1871
Besant, Walter|1836
unknown|NULL
Goodrich, Samuel G. (Samuel Griswold)|1793
Wood, Henry, Mrs.|1814
Martineau, Harriet|1802
Alger, Horatio, Jr.|1832
Trounce, H. D. (Harry Davis)|1885
Le Bon, Gustave|1841
Mackintosh, Charles Henry|1820
Pater, Walter|1839
Kingston, William Henry Giles|1814
Meade, L. T.|1854
Sturgeon, Mary C.|NULL
Etten, Gerard Van|NULL
Coleridge, Samuel Taylor|1772
Various|NULL
Various|NULL
Johns, Cecil Starr|NULL
Headland, Frederick William|NULL
Noyes, Alfred|1880
Various|NULL
Hannay, David|1853
Wheeler, Charles G. (Charles Gardner)|1855
Pepys, Samuel|1633
Pound, Ezra|1885
Forfar, William Bentinck|1810
Walker, Abbie Phillips|1867
Monkhouse, Allan|1858
unknown|NULL
